1	4.38885078947518	8.89014443774959
1.1	4.28065724133818	8.12030845993539
1.2	4.19709806185468	7.47996807351765
1.3	4.13084311585095	6.93959770243416
1.4	4.07707032247704	6.47798093377745
1.5	4.03250357000846	6.0794854251411
1.6	3.99485499913617	5.73234217541722
1.7	3.96248856151287	5.42752307651436
1.8	3.93420996684192	5.15798774155003
1.9	3.9091315503551	4.91816544105303
2	3.88658301623236	4.70359086749193
2.1	3.86605108782337	4.51064301281741
2.2	3.84713784156348	4.33635467269584
2.3	3.82953139498709	4.17827127314742
2.4	3.81298493267492	4.03434474979609
2.5	3.79730146491904	3.90285273708558
2.6	3.78232259495404	3.78233629902829
2.7	3.76792013268914	3.67155142406714
2.8	3.75398975853991	3.56943086254858
2.9	3.74044618313275	3.47505382337879
3	3.72721941170494	3.38762170491933
